"","created_at","title","description","petition_status"
"1",2021-03-23 16:53:55,"SAVE MUSI SAVE HYDERABAD","<p><a href=""https://www.youtube.com/watch?v=PCM1p1rrDgM"" target=""_blank"" rel=""nofollow"">https://www.youtube.com/watch?v=PCM1p1rrDgM</a></p>
<p>Dear Citizens</p>
<p>Historically any civilisation is revolved around the water fronts and river basins, as you all know that the Musi river is an inherent property of Hyderabadi's and it is the integral part of the Hyderabad city and the citizens, and its pollution in all forms affecting all of us as residents, communities and every visitor too. But for many years this problem has been neglected to resolve by all the governments, and the foul and stingent smell emanating from the River Musi and also the lakes like famous Hussain Sagar and the problems faced by the people residing adjacent to the river, ignored. The river has now become a sewage nala in the literal sense of the word, as the industrial effluent and waste and domestic waste are dumped in the river continually. The Telangana State government has promised to rejounevate the dying river through the ""Musi Riverfront Development Authority"" under the leadership of Sri KTR, the Honourable minister for Municipal Administration and Urban Development(MAUD) of Telangana, promising that Musi would be developed on the lines of any other rivers of India or abroad , setting aside 2500 crores, but no firm action has been seen to be taken so far. Not only the city but the villages adjoining Hyderabad have been direly affected. We hoped that at least when Telangana was formed, our Musi river - our lifeline, and the pride of Hyderabad, would be saved. However, it seems less likely with each passing day. We have been witnessing the systematic denial of the very basic human requirements for life. The human rights of the people been getting violated. The pollution percolating to all the ""Pancha Boothas"" (FIVE ELEMENTS). The air we breathe, the water we drink, Soil through which the food we eat, the sky under we live. They're all polluted now. It's now time to act to declare the <strong>""Musi Emergency""</strong> and raise the emergency funds to rejenovate the Mother River Musi and let the present and future generations Live happy and safe life.</p>
<p>Please give a thought and act accordingly but an urgent action is necessary</p>
<p>SAVE MUSI SAVE HYDERABAD</p>","active"
"2",2020-06-06 11:41:39,"Supreme court of Pakistan : Make plasma donation by recovered patients necessary .","<p>We need to encourage every eligible recovered covid patient to donate plasma, for plasma therapy. Help save a life, in fact one donation helps two critically ill patients!</p>
<p>Plasma therapy is only required for the severe cases. That 2% of the affected. They really need it. Mild cases don’t. Only the critically ill patients do.</p>
<p>It’s for a noble cause, let’s encourage everyone to step up. They should be aware that they will be the saviours in this awful time. Your country, your people need you!</p>
<p>You won’t run out of antibodies, in fact, your body can make more.</p>
<p>Someone out there really needs it. Let’s speak up for plasma donation camps to make the whole process as accessible and easy as possible. Let’s also share this as much as we can, and donate to save lives.</p>
<p>People should also be able to opt out due to medical reasons.</p>
<p>EVERYONE DESERVES A CHANCE AT LIFE .</p>","active"
"3",2020-02-13 04:27:17,"People of India: Justice for Nirbhaya's mother","<p>Mother of Nirbhaya is getting a raw deal for past 7 years. Help her get justice without further delay.</p>","active"
"4",2021-03-29 18:59:49,"People: Encourage Community to use sustainably produced products","<p>The rate at which earth’s natural resources are depleting, indicates that very soon we humans will find it hard to survive. The main cause behind this is the inefficient use of resources. A large variety of products that we are using nowadays is made up of material which is harmful for the environment. The effects of the same is clearly visible in the form of Climate Change.</p>
<p>Plastic one of the most used substance in today’s time. It is seen everywhere these days, from supermarkets to common households. It is cheap and serves a lot of applications and also has an edge over alternatives such as cloth or paper due to its re-usability. Also, it is very appropriate for use as it can be moulded into any shape as per one’s requirements. Apart from advantages it offers, it has lots of disadvantages. Plastic is a non-biodegradable material i.e it cannot be dissolved or burnt out, it can only be dumped which means that it remains on the surface of the earth forever. It contains toxic substances and thus, is a major cause of pollution in nature. Plastic pollution is spreading like a disease which has no cure. Plastic pollution is spreading through the environment like wildfire. It has many adverse effects upon the lives of human beings, animals and plants alike. Every year, across the world, tons of plastic and plastic materials are dumped into rivers, lakes and ocean waters and thus, require immediate attention before it’s too late.</p>
<p>Plastic does not dissolve in water, it either keeps afloat or settles down on the surface thus, polluting water bodies to a great extent. Plastic pollution also has its due impacts upon underwater marine wildlife and plant life. The plastic dumped in the water does not dissolve. They can be mistaken as food materials by fishes and other aquatic animals; eating up the plastic causes intoxication and prolonged choking. The adverse effects of plastic and the pollution caused by it is felt in every sector. To minimize the damage done, we should be careful in our practices and uses of plastic. Though the use of plastic cannot be rooted out completely, we must at least try and reduce our dependence on it.</p>
<p>Plastics do have become an indispensable ingredient of modern life but in order to protect our environment from the harm it cause, we must start using sustainably produced products. These products do not harm the environment, whether in their production, use or disposal. We must use alternatives like cloth bags and paper bags instead of plastic bags. If we are purchasing plastic, we must reuse it. We must avoid drinking bottled water which contributes largely to plastic pollution.</p>
<p>Let’s bring a change together. Every one of us knows what plastic is here to say. But how we let it stays left to us.</p>","active"
"5",2019-09-01 02:34:04,"Devendra Fadnavis: Development of basic public infrastructure for Navi Mumbai, ULWE residents","<p>Residents of ULWE have to face a harrowing time daily due to the extreme congestion on the roads (Belapur-Uran) due to massive construction for upcoming Navi Mumbai Airport.<br>Lack of adequately built ROADS brings traffic to a halt and this problem becomes worse on rainy days. Vehicles are taking an hour to travel a meager 2-4 kilometers on tough days. Average travel speed is hardly above 10 Kmph on these roads and very limited LOCAL TRAINs and with frequency of almost an hour thus have face lot of issues for working class and school going children.<br>This is causing extreme frustration, tiredness, high cost of travel and loss of productivity.<br>Lives are being lost every week (either due to accident or otherwise) because the ambulances are not able to find space. Lack of “traffic signals” or “traffic police” civilians crossing the roads full of vehicles is quite scary and people have lost their lives in past.<br>Recently 3 people were grievously injured while crossing the road and in the past 3 months 4 have met with an accident and it was so severe that they succumbed on the spot.<br>We request the Honorable Chief Minister of Maharashtra, the chief of MMRDA, NMMC, CIDCO town planning authority and area councilors to consider this request and take steps to rectify this situation. <br>Another big issue is street DOGs are seen roaming every where which has bitten many children and seniors citizens and many of them have died due to this.<br>Here are some other issues which are extremely critical to be looked into immediately are as follows...<br>1) Well-tarred roads around Bamandongri and Kharkopar station.<br>2) Presence of more traffic lights and street lights even in the internal areas to stop deadlocks.<br>3) Deployment of more traffic police officers to control the traffic.<br>4) Cleanliness in an around Ulwe with proper public places.<br>Being the state that contributes maximum to the nation’s revenue, we have an inadequate infrastructure. Citizens, therefore, feel betrayed and neglected.<br>We hope you understand our grievances and take steps to solve our problems.</p>","active"
"6",2021-02-25 03:55:30,"Department of Education: Normalizing Mental Health & Conducting Therapies Vividly In Schools and Colleges","<p><strong>Mental illness is a medical condition.</strong></p>
<p><strong>A person does not simply ""get over"" mental illness without some form of treatment. Mental illness is generally a lifelong, chronic medical condition that needs consistent treatment.</strong></p>
<p>As per the National Mental Health Survey, the prevalence of psychiatric illness was about 7.3% in adolescents aged between 13-17 years due to depression, anxiety disorders, substance use disorder and attentive deficit hyperactive disorder which later leads to suicides. Psychiatric illnesses are the leading cause of children suicides in India.</p>
<p>Our objective through this petition is “To develop a school-based mental health justice program for youth in India.” Just like Mid-day Meals Scheme, there should be free counselling sessions, workshops, lectures about mental health in all schools and in workspace.</p>
<p>We all must have heard the phrase “Charity begins at home” in the same way we must educate the parents to be more open to the problem related to their children’s mental health and theirs as well rather than ignoring it.</p>
<p>According to Right to Free Legal Aid [Under sub-section (2) of section 27, page 14, section 121 subsection (4), clause (e)] <strong> “All mental health establishments shall display signage board in a prominent place in local language regarding the right of the persons with mental illness to seek free legal aid and contact information of the Legal Service Authority.”</strong></p>
<p>And to conclude we would like say that mental health should be treated as important as our physical health. Lets always remember <strong>“It’s okay, to not be okay."" </strong></p>","active"
"7",2021-04-11 04:14:04,"PM. NARENDRA MODI: JUSTICE FOR STUDENTS GIVING BOARDS.","<p>If you want , the board exams of the students of classes 10 and 12 to be offline please do support.</p>","active"
"8",2021-03-28 07:03:15,"SAHIL, SPARC, KONPAL: Stop child abuse and child pornography and child murders.","<p>Child abuse is one of the leading social vices in Pakistan. As we people, with all our ears, listen to the news everyday and go through the worst behavior held with children of the country. Either girls or boys. They are kidnapped, raped, tortured and then murdered. </p>
<p>The Islamic world needs to understand the worst impacts of pornography on the people. They are mentally sick or they imagine doing what they watch in porn videos. This is a serious matter now. They either use animals for their satisfaction or they use innocent children. </p>
<p>The government of Pakistan  immediately has to put an end to the reach of porn videos in every way. This is the leading cause that is the actual origin of such nasty attempts to naive children. That is unbearable for the parents and for the other society too. Rape has become the normal in past few months in Pakistan. There's been so many incidents that we know. Either the zainab incident or the motorway rape case. Both the people need rehabilitation and counselling. One Who watches porn perpetually and the ones who do not but are surrounded by sexually ill environment. </p>
<p> </p>","active"
"9",2020-10-03 12:09:38,"The one who can change this are only WE.: Need to take a step for a better place to live ...","<p>You all know that in today's world girls are not safe at all.....so we only have to take the step to stop the ongoing discrimination against women. India women always had some problem or the other to face in society. People evolved and so did the problems, they did not go away but changed from one to another. We need to realize these problems and act on them fast to help our country thrive. </p>","active"
"10",2019-12-06 10:42:22,"People: I really want this to become a right. “Right to safe public transport and public places”","<p>Rapes, Abduction, Kidnapping</p>","active"
